timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
395475358,51029.99,140.05081,44,98451,3027,65536,0,3,127
396476347,51175.71,140.06596,44,98697,4283,65536,0,3,127
397477381,51321.42,140.08096,44,98945,5982,65536,0,3,127
398478441,51468.656,140.10004,44,99193,5786,65536,0,3,127
399479348,51617.613,140.12373,44,99439,3564,65536,0,3,127
400480353,51766.28,140.1465,44,99687,2204,65536,0,3,127
401481356,51912.98,140.16379,44,99933,2866,65536,0,3,127
402482401,52057.32,140.17467,44,100181,5707,65536,0,3,127
403483367,52204.66,140.19353,44,100427,4989,65536,0,3,127
404484371,52352.0,140.2123,44,100675,5062,65536,0,3,127
405485351,52500.875,140.23506,44,100923,3258,65536,0,3,127
406486353,52648.543,140.25449,44,101169,2753,65536,0,3,127
407487385,52796.63,140.27492,44,101417,1779,65536,0,3,127
408488345,52940.992,140.2854,44,101663,4404,65536,0,3,127
409489352,53089.633,140.3071,44,101911,3046,65536,0,3,127
410490351,53236.992,140.32532,44,102157,3035,65536,0,3,127
411491384,53384.406,140.34357,44,102405,2801,65536,0,3,127
412492566,53532.105,140.36243,44,102653,2196,65536,0,3,127
413493367,53675.707,140.3706,44,102899,5609,65536,0,3,127
414494375,53824.0,140.3909,44,103147,4395,65536,0,3,127
415495426,53969.383,140.4035,44,103393,6190,65536,0,3,127
416496353,54117.97,140.42441,44,103641,4682,65536,0,3,127
417497588,54264.13,140.43878,44,103888,5702,65536,0,3,127
418498357,54412.11,140.45798,44,104135,5047,65536,0,3,127
419499358,54559.617,140.47577,44,104383,4611,65536,0,3,127
420500354,54707.37,140.49411,44,104629,4197,65536,0,3,127
421501385,54856.113,140.51486,44,104877,2814,65536,0,3,127
422502400,55001.11,140.52594,44,105123,4794,65536,0,3,127
423503344,55149.035,140.54446,44,105371,3890,65536,0,3,127
424504452,55296.0,140.56038,44,105618,4067,65536,0,3,127
425505356,55441.332,140.57216,44,105865,5889,65536,0,3,127
426506357,55591.305,140.59558,44,106113,3023,65536,0,3,127
427507377,55736.516,140.60687,44,106359,4823,65536,0,3,127
428508355,55885.305,140.6271,44,106607,3074,65536,0,3,127
429509376,56030.258,140.6376,44,106853,5076,65536,0,3,127
430510347,56180.695,140.66179,44,107101,1961,65536,0,3,127
431511712,56324.586,140.66939,44,107349,5735,65536,0,3,127
432512389,56472.992,140.68842,44,107595,4909,65536,0,3,127
433513368,56620.562,140.70518,44,107843,4437,65536,0,3,127
434514410,56768.0,140.7215,44,108089,3896,65536,0,3,127
435515352,56912.836,140.73135,44,108337,6462,65536,0,3,127
