timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
895309796,-0.042101134,-0.15008427,0.46006072
895329796,-0.042101134,-0.15008427,0.46006072
895349780,-0.028720962,-0.14110929,0.4630806
895369794,-0.028720962,-0.14110929,0.4630806
895389883,-0.03615439,-0.15008427,0.46006072
895409795,-0.028720962,-0.15307592,0.4630806
895429795,-0.028720962,-0.15307592,0.4630806
895449777,-0.037641075,-0.13961345,0.4630806
895469792,-0.028720962,-0.14709263,0.44949102
895489792,-0.03169433,-0.15008427,0.46006072
895509796,-0.03169433,-0.15008427,0.46006072
895529796,-0.027234277,-0.15008427,0.4630806
895549795,-0.034667704,-0.13811764,0.46459055
895569778,-0.034667704,-0.13811764,0.46459055
895589794,-0.028720962,-0.15158011,0.46006072
895609868,-0.028720962,-0.15158011,0.47063035
895629797,-0.028720962,-0.15158011,0.47063035
895649795,-0.028720962,-0.15158011,0.4661005
895669777,-0.028720962,-0.15158011,0.4661005
895689792,-0.019800847,-0.14709263,0.4630806
895709792,-0.019800847,-0.14709263,0.4630806
895729797,-0.037641075,-0.14410095,0.45855075
895749795,-0.04061445,-0.15008427,0.4721403
895769819,-0.04061445,-0.15008427,0.4721403
895789777,-0.028720962,-0.14709263,0.45251095
895809795,-0.028720962,-0.14709263,0.45251095
895829828,-0.021287533,-0.15905924,0.4721403
895849796,-0.021287533,-0.15905924,0.4721403
895869795,-0.03169433,-0.15008427,0.46006072
895889777,-0.02574759,-0.14260514,0.46006072
895909793,-0.03615439,-0.15008427,0.451001
895929794,-0.04061445,-0.13811764,0.46459055
895949795,-0.027234277,-0.14110929,0.4630806
895969796,-0.027234277,-0.14110929,0.4630806
895989795,-0.037641075,-0.13512596,0.46459055
896009777,-0.037641075,-0.13512596,0.46459055
896029788,-0.03169433,-0.1366218,0.4721403
896049799,-0.03615439,-0.14260514,0.4630806
896069798,-0.03169433,-0.1366218,0.46006072
896089795,-0.03169433,-0.1366218,0.46006072
896109776,-0.022774218,-0.13811764,0.45855075
896129794,-0.022774218,-0.13811764,0.45855075
896149814,-0.028720962,-0.13811764,0.45553085
896169801,-0.037641075,-0.15008427,0.45251095
896189809,-0.028720962,-0.14410095,0.46761045
896209794,-0.028720962,-0.14410095,0.46761045
896229800,-0.028720962,-0.14410095,0.47365028
896249798,-0.028720962,-0.1366218,0.46006072
