timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1122109064,5.016669,0.0,0,0,3,0,0,0,0
1122609067,5.034897,0.0,0,0,3,0,0,0,0
1123109066,5.015259,0.0,0,0,3,0,0,0,0
1123609065,5.026135,0.0,0,0,3,0,0,0,0
1124109069,4.975479,0.0,0,0,3,0,0,0,0
1124609069,5.0374146,0.0,0,0,3,0,0,0,0
1125109147,5.041443,0.0,0,0,3,0,0,0,0
1125609069,5.0345945,0.0,0,0,3,0,0,0,0
1126109068,5.0157623,0.0,0,0,3,0,0,0,0
1126609067,5.0675263,0.0,0,0,3,0,0,0,0
1127109069,5.0250273,0.0,0,0,3,0,0,0,0
1127609073,5.0349975,0.0,0,0,3,0,0,0,0
1128109068,5.0233154,0.0,0,0,3,0,0,0,0
1128609072,5.020596,0.0,0,0,3,0,0,0,0
1129109070,5.0387235,0.0,0,0,3,0,0,0,0
1129609070,5.0529237,0.0,0,0,3,0,0,0,0
1130109068,5.08374,0.0,0,0,3,0,0,0,0
1130609085,5.040234,0.0,0,0,3,0,0,0,0
1131109113,5.039026,0.0,0,0,3,0,0,0,0
1131609108,5.050305,0.0,0,0,3,0,0,0,0
1132109103,5.0193877,0.0,0,0,3,0,0,0,0
1132609080,5.048392,0.0,0,0,3,0,0,0,0
1133109092,5.0070004,0.0,0,0,3,0,0,0,0
1137609065,5.0108275,0.0,0,0,3,0,0,0,0
1138109064,5.038321,0.0,0,0,3,0,0,0,0
1138609094,5.0532255,0.0,0,0,3,0,0,0,0
1139109064,5.0342927,0.0,0,0,3,0,0,0,0
1139609089,5.0398316,0.0,0,0,3,0,0,0,0
1140109064,5.025531,0.0,0,0,3,0,0,0,0
1140609067,5.0456724,0.0,0,0,3,0,0,0,0
1141109064,5.038321,0.0,0,0,3,0,0,0,0
1141609066,5.0470824,0.0,0,0,3,0,0,0,0
1142109076,5.0384216,0.0,0,0,3,0,0,0,0
1142609091,5.053326,0.0,0,0,3,0,0,0,0
1143109067,5.0611815,0.0,0,0,3,0,0,0,0
1143609086,5.029156,0.0,0,0,3,0,0,0,0
1144109064,5.080316,0.0,0,0,3,0,0,0,0
1144609114,5.021704,0.0,0,0,3,0,0,0,0
1145109065,5.0687346,0.0,0,0,3,0,0,0,0
1145609243,5.069641,0.0,0,0,3,0,0,0,0
1146109064,5.0739713,0.0,0,0,3,0,0,0,0
1146609065,5.062088,0.0,0,0,3,0,0,0,0
1147109064,5.0701447,0.0,0,0,3,0,0,0,0
1147609065,5.072058,0.0,0,0,3,0,0,0,0
1148109065,5.0998535,0.0,0,0,3,0,0,0,0
1148609094,5.0825315,0.0,0,0,3,0,0,0,0
1149109234,5.0748777,0.0,0,0,3,0,0,0,0
1149609107,5.0753813,0.0,0,0,3,0,0,0,0
1150109066,5.081323,0.0,0,0,3,0,0,0,0
1150609090,5.051413,0.0,0,0,3,0,0,0,0
1151109065,5.0814238,0.0,0,0,3,0,0,0,0
1151609140,5.07236,0.0,0,0,3,0,0,0,0
1152109068,5.0712523,0.0,0,0,3,0,0,0,0
1152609065,5.0732665,0.0,0,0,3,0,0,0,0
1153109064,5.0653105,0.0,0,0,3,0,0,0,0
1153609065,5.075583,0.0,0,0,3,0,0,0,0
1154109064,5.0738707,0.0,0,0,3,0,0,0,0
1154609091,5.081122,0.0,0,0,3,0,0,0,0
1155109065,5.067224,0.0,0,0,3,0,0,0,0
1155609090,5.0550385,0.0,0,0,3,0,0,0,0
1156109064,5.0728636,0.0,0,0,3,0,0,0,0
1156609090,5.030768,0.0,0,0,3,0,0,0,0
1157109064,5.0782013,0.0,0,0,3,0,0,0,0
1157609279,5.071756,0.0,0,0,3,0,0,0,0
1158109064,5.076489,0.0,0,0,3,0,0,0,0
1158609064,5.0746765,0.0,0,0,3,0,0,0,0
1159109066,5.0749784,0.0,0,0,3,0,0,0,0
1159609064,5.065613,0.0,0,0,3,0,0,0,0
1160109064,5.018985,0.0,0,0,3,0,0,0,0
1160609091,5.069037,0.0,0,0,3,0,0,0,0
