timestamp,armed_time_ms,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
738363652,31084,1,1,1,0,0,0,0,1
738869652,31084,1,1,1,0,0,0,0,1
739375652,31084,1,1,1,0,0,0,0,1
739881652,31084,1,1,1,0,0,0,0,1
740387678,31084,1,1,1,0,0,0,0,1
740893675,31084,1,1,1,0,0,0,0,1
741399652,31084,1,1,1,0,0,0,0,1
741905653,31084,1,1,1,0,0,0,0,1
742411670,31084,1,1,1,0,0,0,0,1
742917704,31084,1,1,1,0,0,0,0,1
743423689,31084,1,1,1,0,0,0,0,1
743929652,31084,1,1,1,0,0,0,0,1
744435653,31084,1,1,1,0,0,0,0,1
744941654,31084,1,1,1,0,0,0,0,1
745447656,31084,1,1,1,0,0,0,0,1
745953651,31084,1,1,1,0,0,0,0,1
746459653,31084,1,1,1,0,0,0,0,1
746965656,31084,1,1,1,0,0,0,0,1
747472007,31084,1,1,1,0,0,0,0,1
747977653,31084,1,1,1,0,0,0,0,1
748483678,31084,1,1,1,0,0,0,0,1
748989674,31084,1,1,1,0,0,0,0,1
749495653,31084,1,1,1,0,0,0,0,1
750001652,31084,1,1,1,0,0,0,0,1
750507654,31084,1,1,1,0,0,0,0,1
751013654,31084,1,1,1,0,0,0,0,1
751519715,31084,1,1,1,0,0,0,0,1
752025653,31084,1,1,1,0,0,0,0,1
752531651,31084,1,1,1,0,0,0,0,1
753037653,31084,1,1,1,0,0,0,0,1
753543652,31084,1,1,1,0,0,0,0,1
754049699,31084,1,1,1,0,0,0,0,1
754555670,31084,1,1,1,0,0,0,0,1
755061653,31084,1,1,1,0,0,0,0,1
755567654,31084,1,1,1,0,0,0,0,1
756073652,31084,1,1,1,0,0,0,0,1
756579675,31084,1,1,1,0,0,0,0,1
757085653,31084,1,1,1,0,0,0,0,1
757591649,31084,1,1,1,0,0,0,0,1
758097652,31084,1,1,1,0,0,0,0,1
758603678,31084,1,1,1,0,0,0,0,1
759109653,31084,1,1,1,0,0,0,0,1
759615652,31084,1,1,1,0,0,0,0,1
760121653,31084,1,1,1,0,0,0,0,1
760627655,31084,1,1,1,0,0,0,0,1
761134003,31084,1,1,1,0,0,0,0,1
761639653,31084,1,1,1,0,0,0,0,1
762145655,31084,1,1,1,0,0,0,0,1
762651651,31084,1,1,1,0,0,0,0,1
763157677,31084,1,1,1,0,0,0,0,1
763663668,31084,1,1,1,0,0,0,0,1
764169652,31084,1,1,1,0,0,0,0,1
764675649,31084,1,1,1,0,0,0,0,1
768722652,31084,1,1,1,0,0,0,0,1
769228672,31084,1,1,1,0,0,0,0,1
769734651,31084,1,1,1,0,0,0,0,1
770240655,31084,1,1,1,0,0,0,0,1
770746667,31084,1,1,1,0,0,0,0,1
771252652,31084,1,1,1,0,0,0,0,1
771758652,31084,1,1,1,0,0,0,0,1
772258874,31084,1,1,1,0,0,0,0,1
772764699,31084,1,1,1,0,0,0,0,1
773270887,31084,1,1,1,0,0,0,0,1
773776652,31084,1,1,1,0,0,0,0,1
774283237,31084,1,1,1,0,0,0,0,1
774788669,31084,1,1,1,0,0,0,0,1
775294653,31084,1,1,1,0,0,0,0,1
775800652,31084,1,1,1,0,0,0,0,1
776306652,31084,1,1,1,0,0,0,0,1
776810679,31084,1,1,1,0,0,0,0,1
777316652,31084,1,1,1,0,0,0,0,1
777822652,31084,1,1,1,0,0,0,0,1
778328672,31084,1,1,1,0,0,0,0,1
778834700,31084,1,1,1,0,0,0,0,1
779340664,31084,1,1,1,0,0,0,0,1
779846652,31084,1,1,1,0,0,0,0,1
780352655,31084,1,1,1,0,0,0,0,1
780858653,31084,1,1,1,0,0,0,0,1
781364671,31084,1,1,1,0,0,0,0,1
781870653,31084,1,1,1,0,0,0,0,1
782376655,31084,1,1,1,0,0,0,0,1
782882676,31084,1,1,1,0,0,0,0,1
783389104,31084,1,1,1,0,0,0,0,1
783894657,31084,1,1,1,0,0,0,0,1
784401202,31084,1,1,1,0,0,0,0,1
784906673,31084,1,1,1,0,0,0,0,1
785412670,31084,1,1,1,0,0,0,0,1
785918669,31084,1,1,1,0,0,0,0,1
786424882,31084,1,1,1,0,0,0,0,1
786930652,31084,1,1,1,0,0,0,0,1
787439672,31084,1,1,1,0,0,0,0,1
787945671,31084,1,1,1,0,0,0,0,1
788451669,31084,1,1,1,0,0,0,0,1
788957712,31084,1,1,1,0,0,0,0,1
789463679,31084,1,1,1,0,0,0,0,1
789969669,31084,1,1,1,0,0,0,0,1
790475673,31084,1,1,1,0,0,0,0,1
790981670,31084,1,1,1,0,0,0,0,1
791487734,31084,1,1,1,0,0,0,0,1
791993670,31084,1,1,1,0,0,0,0,1
792499670,31084,1,1,1,0,0,0,0,1
793005685,31084,1,1,1,0,0,0,0,1
793512676,31084,1,1,1,0,0,0,0,1
794018652,31084,1,1,1,0,0,0,0,1
794524652,31084,1,1,1,0,0,0,0,1
795030651,31084,1,1,1,0,0,0,0,1
795536651,31084,1,1,1,0,0,0,0,1
796042653,31084,1,1,1,0,0,0,0,1
796548669,31084,1,1,1,0,0,0,0,1
797054652,31084,1,1,1,0,0,0,0,1
797560653,31084,1,1,1,0,0,0,0,1
798066652,31084,1,1,1,0,0,0,0,1
798572652,31084,1,1,1,0,0,0,0,1
799078652,31084,1,1,1,0,0,0,0,1
799584678,31084,1,1,1,0,0,0,0,1
800090659,31084,1,1,1,0,0,0,0,1
800596651,31084,1,1,1,0,0,0,0,1
801102653,31084,1,1,1,0,0,0,0,1
801608768,31084,1,1,1,0,0,0,0,1
802114849,31084,1,1,1,0,0,0,0,1
802620654,31084,1,1,1,0,0,0,0,1
803126670,31084,1,1,1,0,0,0,0,1
803632670,31084,1,1,1,0,0,0,0,1
804137669,31084,1,1,1,0,0,0,0,1
804643671,31084,1,1,1,0,0,0,0,1
805149678,31084,1,1,1,0,0,0,0,1
805655661,31084,1,1,1,0,0,0,0,1
