timestamp,safety_switch_available,safety_off,override_available,override_enabled
806517060,1,1,0,0
807519092,1,1,0,0
808521128,1,1,0,0
809523182,1,1,0,0
810525215,1,1,0,0
814533348,1,1,0,0
815535425,1,1,0,0
816537476,1,1,0,0
817539470,1,1,0,0
818541538,1,1,0,0
819543588,1,1,0,0
820545615,1,1,0,0
821547635,1,1,0,0
822549701,1,1,0,0
823551707,1,1,0,0
824553755,1,1,0,0
825555838,1,1,0,0
826557870,1,1,0,0
827559934,1,1,0,0
828561952,1,1,0,0
829563952,1,1,0,0
830566069,1,1,0,0
831568066,1,1,0,0
832570105,1,1,0,0
833572185,1,1,0,0
834574168,1,1,0,0
835576220,1,1,0,0
836578295,1,1,0,0
837580278,1,1,0,0
838582308,1,1,0,0
839584357,1,1,0,0
840586393,1,1,0,0
841588455,1,1,0,0
842590531,1,1,0,0
843592509,1,1,0,0
844594579,1,1,0,0
845596590,1,1,0,0
846598626,1,1,0,0
847600706,1,1,0,0
848602737,1,1,0,0
849604798,1,1,0,0
850606788,1,1,0,0
851608824,1,1,0,0
852610900,1,1,0,0
853612913,1,1,0,0
854614952,1,1,0,0
855617024,1,1,0,0
856619091,1,1,0,0
857621106,1,1,0,0
858623128,1,1,0,0
859625153,1,1,0,0
860627187,1,1,0,0
861629248,1,1,0,0
862631302,1,1,0,0
863633350,1,1,0,0
864635349,1,1,0,0
865637393,1,1,0,0
866639428,1,1,0,0
867641478,1,1,0,0
868643533,1,1,0,0
870647617,1,1,0,0
871649629,1,1,0,0
872651683,1,1,0,0
873653726,1,1,0,0
874655758,1,1,0,0
875657790,1,1,0,0
879665997,1,1,0,0
880667993,1,1,0,0
881670027,1,1,0,0
882672071,1,1,0,0
883674119,1,1,0,0
884676255,1,1,0,0
885678213,1,1,0,0
886680275,1,1,0,0
887682293,1,1,0,0
888684315,1,1,0,0
889686396,1,1,0,0
890688389,1,1,0,0
891690462,1,1,0,0
892692469,1,1,0,0
893694561,1,1,0,0
894696566,1,1,0,0
895698584,1,1,0,0
896700635,1,1,0,0
897702693,1,1,0,0
898704715,1,1,0,0
899706830,1,1,0,0
900708784,1,1,0,0
901710829,1,1,0,0
902712867,1,1,0,0
903714911,1,1,0,0
904716956,1,1,0,0
905719101,1,1,0,0
906721067,1,1,0,0
907723135,1,1,0,0
908725110,1,1,0,0
909727162,1,1,0,0
910729191,1,1,0,0
911731234,1,1,0,0
912733266,1,1,0,0
913735342,1,1,0,0
914737358,1,1,0,0
915739445,1,1,0,0
916741427,1,1,0,0
917743490,1,1,0,0
918745519,1,1,0,0
919747545,1,1,0,0
920749628,1,1,0,0
921751695,1,1,0,0
922753671,1,1,0,0
923755745,1,1,0,0
924757820,1,1,0,0
925759874,1,1,0,0
926761834,1,1,0,0
927763903,1,1,0,0
928765986,1,1,0,0
929767948,1,1,0,0
930769993,1,1,0,0
931772028,1,1,0,0
932774067,1,1,0,0
933776160,1,1,0,0
934778179,1,1,0,0
935780262,1,1,0,0
936782228,1,1,0,0
