timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping
130110209,130109770,3670050,3670050,-4.5372686e-05,2.0107627e-05,-7.985563e-05,0.016119784,0.011542709,-0.0689137,5003,5003,0
130610555,130610098,3670050,3670050,0.0032844357,-2.615446e-05,-9.372617e-05,0.010966965,-0.0017885816,-0.049737714,5330,5330,0
131110207,131109770,3670050,3670050,0.0011514142,0.0010933641,0.0011236364,0.009477968,-0.008436447,-0.056357518,5000,5000,0
131610210,131609775,3670050,3670050,0.0010943124,0.0012624759,0.0017290711,0.010107096,0.00065265223,-0.03073576,4968,4968,0
132110205,132109770,3670050,3670050,-0.00080635666,0.0013175055,0.0005367354,0.00915852,-0.0035818156,-0.07286526,5002,5002,0
132610231,132609769,3670050,3670050,-0.0025309254,0.0012913239,0.0014778603,0.008821102,0.005485298,-0.07784388,5001,5001,0
133110222,133109770,3670050,3670050,0.00041333787,0.0009837649,0.00048042543,0.0065595983,-0.0036057837,-0.061887246,5003,5003,0
133610176,133609776,3670050,3670050,0.0002020835,0.00097415235,0.0015087433,0.010352586,0.0069096824,-0.08160664,5009,5009,0
134110305,134109909,3670050,3670050,-0.0010253697,0.0013992526,0.0014818326,0.007445445,0.0012716814,-0.05985285,4888,4888,0
134610206,134609771,3670050,3670050,0.00043632457,0.0017887185,0.0012681612,0.012434896,-0.0011994455,-0.053046353,5001,5001,0
135110206,135109770,3670050,3670050,0.00042060716,0.0016843888,0.0019013277,0.011114097,0.00027876956,-0.04274463,5002,5002,0
135610183,135609770,3670050,3670050,0.00026722308,0.0016133009,0.0021081192,0.011275851,0.011862615,-0.053413793,5002,5002,0
136110271,136109770,3670050,3670050,0.0011021433,0.0019381464,0.0017861737,0.013824147,0.0029758594,-0.044523217,5002,5002,0
