timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,is_external
293105875,293105850,589858,-0.26237792,2.804105,-0.1109218,nan,0,0
294105875,294105849,589858,-0.24142468,2.8324623,-0.15323977,nan,0,0
295105990,295105965,589858,-0.07379892,0.97581166,0.2578491,nan,0,0
297105872,297105848,589858,0.06838366,0.6206004,0.3545759,nan,0,0
298105880,298105851,589858,0.02647722,0.4086676,0.4633935,nan,0,0
299105875,299105849,589858,-0.03039581,0.46836698,0.4573481,nan,0,0
300105875,300105849,589858,-0.05284569,0.42060748,0.47548437,nan,0,0
301106010,301105985,589858,-0.079785556,0.47284445,0.48304114,nan,0,0
302105880,302105853,589858,-0.07230226,0.43553233,0.47246167,nan,0,0
303105874,303105849,589858,-0.04386574,0.44448724,0.47095034,nan,0,0
304105875,304105850,589858,-0.0708056,0.9355146,0.38782573,nan,0,0
305105921,305105896,589858,-0.042369083,0.97730416,0.35004184,nan,0,0
306105876,306105850,589858,-0.012435907,1.1026728,0.28807622,nan,0,0
307106060,307106036,589858,0.04593378,1.0310336,0.3258601,nan,0,0
308105873,308105848,589858,-0.03039581,1.047451,0.33795097,nan,0,0
309105877,309105851,589858,-0.061825648,0.97730416,0.3198147,nan,0,0
310105875,310105849,589858,-0.063322306,1.0489434,0.34399638,nan,0,0
311105876,311105850,589858,-0.009442589,1.0534209,0.3334169,nan,0,0
312105875,312105849,589858,-0.013932565,1.0564059,0.30772385,nan,0,0
313106058,313106033,589858,-0.009442589,1.1593874,0.2714513,nan,0,0
314105883,314105849,589858,-0.009442589,1.1265527,0.29714435,nan,0,0
315105874,315105849,589858,0.03994715,1.2593838,0.2306447,nan,0,0
316105877,316105851,589858,-0.013932565,1.3340079,0.17019044,nan,0,0
317105877,317105849,589858,-0.0708056,1.663847,0.13089517,nan,0,0
318105875,318105849,589858,-0.2563913,2.0593555,0.040213812,nan,0,0
319106070,319106046,589858,-0.28033784,1.4131097,0.18379265,nan,0,0
320105874,320105849,589858,-0.34170082,1.3698275,0.18379265,nan,0,0
321105873,321105849,589858,-0.34768745,1.2101318,0.23215604,nan,0,0
322105876,322105849,589858,-0.27135786,0.61015296,0.38782573,nan,0,0
323105878,323105852,589858,-0.23094808,0.20270474,0.48304114,nan,0,0
324105875,324105849,589858,-0.22196813,0.34598324,0.45885944,nan,0,0
325106090,325106065,589858,-0.2010149,0.31464106,0.49815473,nan,0,0
326105874,326105849,589858,-0.22196813,0.20867468,0.4845525,nan,0,0
327105874,327105849,589858,-0.22196813,0.10569324,0.50268877,nan,0,0
328105876,328105849,589858,-0.22346479,0.0056967866,0.51175696,nan,0,0
329105875,329105849,589858,-0.22047147,-0.0017656287,0.51175696,nan,0,0
330105877,330105850,589858,-0.23394139,0.03256152,0.50722283,nan,0,0
331106106,331106083,589858,-0.22047147,0.038531452,0.5087342,nan,0,0
332105873,332105848,589858,-0.24441801,0.054948777,0.5132683,nan,0,0
337106130,337106105,589858,-0.31476095,0.038531452,0.48304114,nan,0,0
338105874,338105849,589858,-0.30428436,0.016144177,0.48606387,nan,0,0
339105873,339105848,589858,-0.28033784,0.129573,0.5193137,nan,0,0
340105877,340105851,589858,-0.24441801,0.017636672,0.50268877,nan,0,0
341105875,341105849,589858,-0.22196813,0.025099086,0.5178023,nan,0,0
342105875,342105849,589858,-0.13815524,0.0071892813,0.53593856,nan,0,0
343106181,343106156,589858,-0.024409177,0.025099086,0.5283819,nan,0,0
344105879,344105850,589858,-0.015429223,-0.009228059,0.5147797,nan,0,0
345105872,345105848,589858,-0.14114855,0.013159216,0.5298932,nan,0,0
346105874,346105849,589858,-0.31176764,0.0056967866,0.46490487,nan,0,0
347105873,347105848,589858,-0.3207476,0.072858594,0.45885944,nan,0,0
348105874,348105849,589858,-0.3686407,1.0176013,0.28051943,nan,0,0
349106171,349106146,589858,-0.2923111,1.2593838,0.26691723,nan,0,0
350105873,350105849,589858,-0.22945142,1.3384854,0.30772385,nan,0,0
351105886,351105857,589858,-0.18455166,1.1623722,0.3575986,nan,0,0
352105877,352105851,589858,-0.12019534,1.1996844,0.31830335,nan,0,0
353105877,353105849,589858,-0.13516192,1.2504288,0.31074655,nan,0,0
354105875,354105849,589858,-0.09475214,0.8489505,0.34550777,nan,0,0
355106187,355106163,589858,-0.121691994,1.3041582,0.22611062,nan,0,0
356105873,356105848,589858,-0.09026217,1.1668497,0.18076994,nan,0,0
357105873,357105848,589858,-0.10073877,1.1071503,0.14147468,nan,0,0
358105879,358105852,589858,-0.12618198,1.3922149,0.067418225,nan,0,0
359105875,359105850,589858,-0.14264522,0.86984533,0.07950907,nan,0,0
360105875,360105849,589858,-0.27135786,1.2175941,0.0613728,nan,0,0
361106211,361106186,589858,-0.34170082,0.79820603,0.16565637,nan,0,0
362105874,362105849,589858,-0.3207476,0.847458,0.25331503,nan,0,0
363105879,363105848,589858,-0.3431975,1.4772865,0.24273555,nan,0,0
