timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
48509086,44.325924,43.94715,69.93179,81.25682,0.0,344.464,0.9425909,1.0,nan,12,3.6622627,3.6622627,3.6622627,3.6622627,3.6622627,3.6622627,3.6622627,3.6622627,3.6622627,3.6622627,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
48809129,44.637493,44.03354,67.97656,76.83732,0.0,350.4527,0.94159275,1.0,nan,12,3.6694615,3.6694615,3.6694615,3.6694615,3.6694615,3.6694615,3.6694615,3.6694615,3.6694615,3.6694615,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
49109080,44.23895,44.166992,69.5073,71.534454,0.0,355.84485,0.94069386,1.0,nan,12,3.6805828,3.6805828,3.6805828,3.6805828,3.6805828,3.6805828,3.6805828,3.6805828,3.6805828,3.6805828,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
49409128,44.292473,44.215675,72.0832,70.68641,0.0,361.66513,0.93972373,1.0,nan,12,3.6846397,3.6846397,3.6846397,3.6846397,3.6846397,3.6846397,3.6846397,3.6846397,3.6846397,3.6846397,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
49709078,44.089855,44.191135,79.640434,72.551575,0.0,367.85165,0.9386926,1.0,nan,12,3.6825945,3.6825945,3.6825945,3.6825945,3.6825945,3.6825945,3.6825945,3.6825945,3.6825945,3.6825945,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
50009108,44.228436,44.159878,78.0293,74.28577,0.0,374.24622,0.93762684,1.0,nan,12,3.6799898,3.6799898,3.6799898,3.6799898,3.6799898,3.6799898,3.6799898,3.6799898,3.6799898,3.6799898,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
50309079,44.594482,44.20323,64.93437,72.22905,0.0,380.06848,0.93665653,1.0,nan,12,3.6836026,3.6836026,3.6836026,3.6836026,3.6836026,3.6836026,3.6836026,3.6836026,3.6836026,3.6836026,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
50609293,46.977123,44.750465,7.9688673,50.385796,0.0,382.3625,0.9362748,1.0024185,nan,12,3.7292054,3.7292054,3.7292054,3.7292054,3.7292054,3.7292054,3.7292054,3.7292054,3.7292054,3.7292054,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
51089078,45.260628,45.123,53.826836,44.912994,0.0,387.4452,0.93543565,1.0030982,nan,12,3.76025,3.76025,3.76025,3.76025,3.76025,3.76025,3.76025,3.76025,3.76025,3.76025,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
53009289,44.286736,44.403183,53.86543,61.340843,0.0,421.91574,0.92969155,1.0,nan,12,3.7002652,3.7002652,3.7002652,3.7002652,3.7002652,3.7002652,3.7002652,3.7002652,3.7002652,3.7002652,0.0,6000,0,0,0,0,0,0,1,0,1,2,0,0
