timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
42020398,-0.5022548,0.043654397,-2.4655633,-0.74971384,-0.5560725,-0.40441534,0.1675085,-0.12404388,-0.25853002,-0.2585386,-0.25468427,-0.21659738,0.12980288,0.011682868,-0.012049675,-0.028686225,-0.08468306,3.8262828e-05,0.0050060847,0.6334768,0.36142734,5.1409308e-05
42220806,-0.5097448,0.043650776,-2.4745057,-0.75743383,-0.5636291,-0.41183326,0.16036718,-0.09121513,-0.2413683,-0.24681634,-0.24747378,-0.22598314,0.13094956,0.05686909,0.03486812,0.018632531,-0.04148853,3.9531384e-05,0.005007771,0.6333524,0.36154845,5.183972e-05
42421214,-0.52548134,0.043667726,-2.4920375,-0.7734608,-0.5794481,-0.42749166,0.14502566,-0.18396002,-0.29182076,-0.29561096,-0.29582822,-0.27899468,0.11982024,0.062304676,0.046040773,0.034278214,-0.009343743,4.1013052e-05,0.0050083175,0.63317543,0.36172286,5.237264e-05
42621622,-0.5554749,0.043687686,-2.5226955,-0.8035399,-0.6094646,-0.45746344,0.115065776,-0.12759864,-0.17469162,-0.17690814,-0.17713672,-0.16948307,0.06813544,0.04068899,0.03308314,0.028060198,0.0081605315,4.1434487e-05,0.00500884,0.63312536,0.3617718,5.254065e-05
42822030,-0.59089786,0.04371011,-2.5595324,-0.83912116,-0.64495146,-0.4928983,0.079581626,-0.25101584,-0.2889557,-0.2896145,-0.28876966,-0.27826738,0.14129871,0.10729748,0.100245535,0.095721364,0.079235494,4.1827043e-05,0.0050016483,0.6328416,0.362062,5.3005315e-05
43022438,-0.6211846,0.0437171,-2.591165,-0.8694432,-0.675319,-0.5233469,0.04861458,-0.2936089,-0.27911502,-0.27298594,-0.26743394,-0.24549526,0.18880618,0.12845081,0.12501699,0.124082625,0.12649351,4.060607e-05,0.004977295,0.63218504,0.3627435,5.3617892e-05
43217958,-0.63713175,0.043654915,-2.6078324,-0.8850645,-0.6913576,-0.53979945,0.030452851,-0.41904014,-0.26635432,-0.2438246,-0.22702992,-0.1793409,0.15954721,0.040747106,0.04754281,0.05661118,0.108725786,3.6666712e-05,0.0049175313,0.6307725,0.36421892,5.43605e-05
43423254,-0.63983697,0.04344512,-2.6087065,-0.8865324,-0.6940289,-0.54353845,0.022667594,-0.5944884,-0.25966227,-0.21892554,-0.19022548,-0.12016511,0.16238105,-0.002539277,0.01993215,0.04343736,0.16140044,3.615076e-05,0.0048175612,0.62868994,0.36640185,5.45629e-05
43623662,-0.6331105,0.043029003,-2.595038,-0.87701297,-0.6869579,-0.53852254,0.020115374,-0.793041,-0.3142382,-0.2597965,-0.22221625,-0.13576257,0.23635536,0.03925413,0.074190974,0.10899961,0.2777896,3.7016736e-05,0.00468347,0.62631875,0.3689075,5.326525e-05
43819182,-0.62123084,0.042425837,-2.5720406,-0.86122006,-0.674471,-0.52875066,0.020002263,-0.8973687,-0.31015086,-0.2457205,-0.20158005,-0.101570725,0.25643706,0.034470856,0.07819301,0.12088907,0.32538176,3.6806832e-05,0.00453944,0.62404656,0.37132648,5.0764604e-05
