timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
796312892,inf,0,0,0,0,0
797320210,inf,0,0,0,0,0
798322099,inf,0,0,0,0,0
799328783,inf,0,0,0,0,0
800330851,inf,0,0,0,0,0
801332865,inf,0,0,0,0,0
802339940,inf,0,0,0,0,0
803341879,inf,0,0,0,0,0
804343899,inf,0,0,0,0,0
805350749,inf,0,0,0,0,0
806352871,inf,0,0,0,0,0
807360058,inf,0,0,0,0,0
808362078,inf,0,0,0,0,0
809368707,inf,0,0,0,0,0
810375667,inf,0,0,0,0,0
814388686,inf,0,0,0,0,0
815390749,inf,0,0,0,0,0
816397979,inf,0,0,0,0,0
817400037,inf,0,0,0,0,0
818401994,inf,0,0,0,0,0
819403817,inf,0,0,0,0,0
820410697,inf,0,0,0,0,0
821412795,inf,0,0,0,0,0
822419738,inf,0,0,0,0,0
823422059,inf,0,0,0,0,0
824424029,inf,0,0,0,0,0
825430650,inf,0,0,0,0,0
826432755,inf,0,0,0,0,0
827434839,inf,0,0,0,0,0
828441696,inf,0,0,0,0,0
829448675,inf,0,0,0,0,0
830450627,inf,0,0,0,0,0
831452762,inf,0,0,0,0,0
832454796,inf,0,0,0,0,0
833461956,inf,0,0,0,0,0
834468567,inf,0,0,0,0,0
835475645,inf,0,0,0,0,0
836482954,inf,0,0,0,0,0
837489398,inf,0,0,0,0,0
838491440,inf,0,0,0,0,0
839498637,inf,0,0,0,0,0
840500714,inf,0,0,0,0,0
841502768,inf,0,0,0,0,0
842509327,inf,0,0,0,0,0
843511663,inf,0,0,0,0,0
844513426,inf,0,0,0,0,0
845520746,inf,0,0,0,0,0
846522713,inf,0,0,0,0,0
847529317,inf,0,0,0,0,0
848536313,inf,0,0,0,0,0
849543213,inf,0,0,0,0,0
850550135,inf,0,0,0,0,0
851552174,inf,0,0,0,0,0
852559368,inf,0,0,0,0,0
853561463,inf,0,0,0,0,0
854563191,inf,0,0,0,0,0
855565318,inf,0,0,0,0,0
856572130,inf,0,0,0,0,0
857579343,inf,0,0,0,0,0
858581395,inf,0,0,0,0,0
859588091,inf,0,0,0,0,0
860590138,inf,0,0,0,0,0
861592124,inf,0,0,0,0,0
862599388,inf,0,0,0,0,0
863601378,inf,0,0,0,0,0
864607996,inf,0,0,0,0,0
865610120,inf,0,0,0,0,0
866612082,inf,0,0,0,0,0
867614122,inf,0,0,0,0,0
868621338,inf,0,0,0,0,0
870630040,inf,0,0,0,0,0
871632434,inf,0,0,0,0,0
872639274,inf,0,0,0,0,0
873641047,inf,0,0,0,0,0
874643330,inf,0,0,0,0,0
875650029,inf,0,0,0,0,0
879667965,inf,0,0,0,0,0
880669990,inf,0,0,0,0,0
881672006,inf,0,0,0,0,0
882679265,inf,0,0,0,0,0
883681414,inf,0,0,0,0,0
884687916,inf,0,0,0,0,0
885694888,inf,0,0,0,0,0
886702037,inf,0,0,0,0,0
887704103,inf,0,0,0,0,0
