timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
65111310,63.32070915899663,10.270015840846076,68.19595,105.18506,-0.0,0.5550098,0.89383996,0.0,2,0,0,0
65311718,63.32074198154682,10.270007726205025,68.86078,105.82968,-0.0,0.5550393,0.89355606,0.0,2,0,0,0
65512126,63.32077470238358,10.270004974415256,69.571754,106.52046,-0.0,0.55501324,0.893278,0.0,2,0,0,0
65702758,63.32080547745063,10.270006636091537,70.28429,107.213394,-0.0,0.5546606,0.8937586,0.0,2,0,0,0
65903166,63.32083751425462,10.27001251165716,71.04519,107.9543,-0.0,0.5546984,0.8934938,0.0,2,0,0,0
66108462,63.32086988008339,10.27002313179229,71.818954,108.70806,-0.0,0.555109,0.8935139,0.0,2,0,0,0
66308869,63.32090093480836,10.27003812992012,72.55714,109.42584,-0.0,0.5550593,0.8932483,0.0,2,0,0,0
66499543,63.320929796046215,10.270056427265882,73.24515,110.09395,-0.0,0.55462456,0.89373636,0.0,2,0,0,0
66704822,63.32096017044101,10.270080311421522,73.96835,110.797356,-0.0,0.5545658,0.8934747,0.0,2,0,0,0
66910094,63.32098975559422,10.270108504789325,74.657036,111.46614,-0.0,0.55493104,0.89350104,0.0,2,0,0,0
67110502,63.32101784107114,10.270140215558483,75.28505,112.073746,-0.0,0.5548574,0.8932444,0.0,2,0,0,0
67310910,63.32104480960491,10.270176142065448,75.88882,112.65732,-0.0,0.5547757,0.89402354,0.0,2,0,0,0
67511346,63.32107072005479,10.270215894632354,76.47708,113.22629,-0.0,0.55476594,0.8937722,0.0,2,0,0,0
67711726,63.321095549768884,10.270259120568237,77.03473,113.763535,-0.0,0.55476606,0.8935219,0.0,2,0,0,0
67912134,63.321118982303474,10.27030591006703,77.56045,114.26875,-0.0,0.55481046,0.89326376,0.0,2,0,0,0
68112542,63.32114094245444,10.270356208123449,78.04965,114.73834,-0.0,0.5549158,0.8940488,0.0,2,0,0,0
68303174,63.321160402349655,10.27040720560626,78.46128,115.13008,-0.0,0.5547266,0.8935086,0.0,2,0,0,0
