timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
319615352,319614795,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319620214,319619683,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319625099,319624570,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319630029,319629459,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319634879,319634346,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319639792,319639235,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319644683,319644124,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319649542,319649011,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319654451,319653899,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319659396,319658794,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319664204,319663676,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319669108,319668563,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319674011,319673450,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319678864,319678339,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319683759,319683227,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319688648,319688116,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319693531,319693003,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319698419,319697891,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319703310,319702779,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319708197,319707669,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319713084,319712555,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319717973,319717443,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319722860,319722331,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319727755,319727220,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319732650,319732107,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319737524,319736995,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319742406,319741883,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319747337,319746771,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319752219,319751665,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319757078,319756547,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319761964,319761435,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319766924,319766324,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319771775,319771211,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319776630,319776099,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319781516,319780987,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319786440,319785875,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319791296,319790763,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319796183,319795652,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319801102,319800539,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319805964,319805427,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319810849,319810315,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319815765,319815203,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319820623,319820091,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319825504,319824979,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319830454,319829873,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319835294,319834756,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319840202,319839676,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319845061,319844530,-0.08,0.02,-0.025841393,0.4949495,0.0,0.0,0.0,0.0
319849989,319849431,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319854859,319854330,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319859747,319859194,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319864610,319864083,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
319869501,319868972,-0.08,0.02,-0.027775627,0.4949495,0.0,0.0,0.0,0.0
